City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
3985710,Cabo San Lucas,90,MX,1593362027,58,22.89,-109.91,84.2,4.7
2172880,Byron Bay,22,AU,1593362208,93,-28.65,153.62,50.0,5.82
2013279,Vostok,96,RU,1593361704,97,46.49,135.88,48.78,2.75
5861897,Fairbanks,90,US,1593362032,58,64.84,-147.72,61.0,3.36
4034551,Faanui,67,PF,1593362235,79,-16.48,-151.75,76.23,23.89
4032243,Vaini,40,TO,1593362202,94,-21.2,-175.2,75.2,4.7
777019,Vardø,75,NO,1593362209,87,70.37,31.11,44.6,18.34
3924948,Ouro Preto do Oeste,12,BR,1593362209,56,-10.75,-62.22,86.77,4.61
3674676,Mitú,75,CO,1593362209,88,1.2,-70.17,79.74,2.33
2126682,Bilibino,2,RU,1593361725,85,68.05,166.44,34.63,6.29
2022572,Khatanga,55,RU,1593362290,43,71.97,102.5,76.32,10.0
4035715,Avarua,63,CK,1593362204,73,-21.21,-159.78,71.6,6.93
3374333,Praia,20,CV,1593362210,55,14.92,-23.51,86.0,18.34
3418910,Upernavik,0,GL,1593362290,70,72.79,-56.15,41.38,9.71
3421765,Nanortalik,98,GL,1593362244,80,60.14,-45.24,43.81,10.42
2126199,Cherskiy,94,RU,1593361726,76,68.75,161.3,38.5,7.61
3130131,Amposta,0,ES,1593362197,66,40.71,0.58,80.01,5.99
5282297,Bethel,75,US,1593362291,61,41.37,-73.41,84.0,5.82
2121025,Srednekolymsk,100,RU,1593362291,46,67.45,153.68,52.0,7.76
934322,Mahébourg,40,MU,1593361724,83,-20.41,57.7,71.6,8.05
2384770,Mbaïki,99,CF,1593362211,94,3.87,17.99,74.08,2.06
884927,Mutoko,0,ZW,1593362211,35,-17.4,32.23,64.98,1.77
779683,Hammerfest,75,NO,1593362211,81,70.66,23.68,44.6,8.05
1488903,Turukhansk,45,RU,1593361715,48,65.82,87.98,73.8,15.41
2264557,Ponta do Sol,4,PT,1593361698,72,32.67,-17.1,73.99,10.0
3374210,São Filipe,12,CV,1593361722,67,14.9,-24.5,78.39,13.53
2396853,Omboué,19,GA,1593362212,78,-1.57,9.26,74.7,9.95
1254046,Tura,57,IN,1593362212,95,25.52,90.22,75.47,7.09
2126123,Chokurdakh,100,RU,1593362292,56,70.63,147.92,53.4,10.54
3372707,Ribeira Grande,75,PT,1593362292,83,38.52,-28.7,73.4,13.87
964420,Port Elizabeth,14,ZA,1593362292,72,-33.92,25.57,59.0,20.8
2077895,Alice Springs,0,AU,1593362212,51,-23.7,133.88,39.2,6.29
3663503,Manicoré,20,BR,1593362212,52,-5.81,-61.3,89.6,4.7
3372964,Lagoa,100,PT,1593362293,91,39.05,-27.98,68.49,6.33
490466,Sortavala,0,RU,1593362212,49,61.71,30.69,62.6,6.78
1490364,Tabory,100,RU,1593362213,97,58.52,64.55,48.74,4.97
2206874,Waipawa,20,NZ,1593361699,75,-41.41,175.52,54.0,5.99
1235846,Matara,87,LK,1593361696,85,5.95,80.54,80.53,9.84
5545269,Price,75,US,1593362213,27,39.6,-110.81,73.4,3.36
2171099,Codrington,18,AU,1593361698,85,-38.27,141.97,42.73,7.11
768218,Gmina Końskie,5,PL,1593362213,1,51.19,20.41,84.0,6.73
5380437,Pacific Grove,90,US,1593361734,82,36.62,-121.92,59.0,9.17
2014718,Tynda,49,RU,1593362213,84,55.17,124.72,54.14,2.55
3395981,Maceió,40,BR,1593362214,65,-9.67,-35.74,82.4,10.29
3653967,Muisne,75,EC,1593362214,79,0.6,-80.03,84.2,9.17
3421719,Narsaq,82,GL,1593362205,54,60.92,-46.05,55.4,11.41
3430863,Mar del Plata,40,AR,1593362294,66,-38.0,-57.56,50.0,4.7
2122090,Pevek,100,RU,1593361701,99,69.7,170.31,31.95,18.28
515879,Oktyabr'skiy,54,RU,1593362215,89,54.48,53.47,51.13,6.11
2074865,Carnarvon,90,AU,1593362295,100,-24.87,113.63,69.8,8.05
986717,Kruisfontein,5,ZA,1593361706,72,-34.0,24.73,54.34,16.15
3831208,Qaanaaq,23,GL,1593362202,64,77.48,-69.36,43.86,3.83
5866583,Saint Paul Harbor,75,US,1593362295,76,57.79,-152.41,53.6,4.7
3533462,Acapulco de Juárez,5,MX,1593361707,58,16.86,-99.89,87.8,5.82
6137462,Saint-Augustin,27,CA,1593362215,65,51.23,-58.65,61.97,17.25
3116689,Miranda de Ebro,20,ES,1593362216,57,42.69,-2.95,77.0,16.11
3391571,Pombal,38,BR,1593362216,36,-6.77,-37.8,90.93,6.71
1253545,Vaijāpur,100,IN,1593362216,82,19.92,74.73,78.76,5.99
2180815,Tuatapere,98,NZ,1593362216,83,-46.13,167.68,39.0,3.0
5563397,Eureka,1,US,1593361930,63,40.8,-124.16,60.8,5.82
2112309,Katsuura,83,JP,1593362248,94,35.13,140.3,73.0,4.23
7671223,Kloulklubed,75,PW,1593362216,88,7.04,134.26,78.8,3.36
1337613,Kulhudhuffushi,47,MV,1593361701,80,6.62,73.07,83.32,15.77
2858333,Ochsenfurt,40,DE,1593362217,57,49.66,10.06,75.2,14.99
3837702,San Fernando del Valle de Catamarca,70,AR,1593362217,48,-28.47,-65.79,62.01,5.99
6165406,Thompson,90,CA,1593362155,93,55.74,-97.86,59.0,9.17
3664956,Boca do Acre,7,BR,1593362217,50,-8.75,-67.4,89.71,4.14
80509,Al Bardīyah,0,LY,1593362217,70,31.76,25.09,75.2,15.37
2015306,Tiksi,92,RU,1593362297,73,71.69,128.87,39.24,3.74
5110365,Broome,40,US,1593362297,69,42.25,-75.83,78.01,6.93
1278969,Along,77,IN,1593362218,89,28.17,94.77,72.82,0.65
1056899,Sambava,4,MG,1593362218,87,-14.27,50.17,74.26,13.27
2134814,Sola,90,VU,1593362218,100,-13.88,167.55,77.0,15.77
5146062,Ashland,90,US,1593362218,78,40.82,-82.27,78.01,9.17
196231,Isiolo,7,KE,1593362218,46,0.35,37.58,73.8,15.28
3662155,Sena Madureira,51,BR,1593362218,53,-9.07,-68.66,87.87,4.18
1507390,Dikson,100,RU,1593362298,100,73.51,80.55,44.02,10.65
3981432,Todos Santos,91,MX,1593362219,72,23.45,-110.22,80.01,1.99
5720495,Coos Bay,90,US,1593362219,93,43.37,-124.22,57.99,6.93
2632287,Dalvik,20,IS,1593362219,82,65.97,-18.53,55.4,11.41
3448903,São João da Barra,75,BR,1593362060,64,-21.64,-41.05,75.2,9.17
4026082,Lázaro Cárdenas,63,MX,1593361732,53,17.96,-102.2,87.89,2.24
244878,Biltine,56,TD,1593362220,27,14.53,20.92,93.54,6.4
3837056,San Luis,37,AR,1593362220,38,-33.3,-66.34,56.1,11.7
6111862,Port Hardy,20,CA,1593361718,76,50.7,-127.42,57.2,5.82
1623197,Tual,87,ID,1593362220,83,-5.67,132.75,79.38,20.96
1517637,Ushtobe,54,KZ,1593362226,41,45.25,77.98,59.52,5.73
2019488,Namtsy,16,RU,1593362220,68,62.72,129.67,66.2,6.71
6149996,Smithers,20,CA,1593362299,67,54.78,-127.17,57.2,8.05
10722858,Forsytheganj,3,BY,1593362220,82,52.63,29.73,70.54,7.23
921786,Mitsamiouli,28,KM,1593362221,78,-11.38,43.28,78.58,5.1
3381538,Grand-Santi,81,GF,1593362300,64,4.25,-54.38,87.82,2.15
3577430,Road Town,40,VG,1593361715,66,18.42,-64.62,88.0,6.93
4513583,Hamilton,75,US,1593362226,88,39.18,-84.53,75.99,6.93
546105,Nikolskoye,0,RU,1593361700,42,59.7,30.79,68.0,11.18
1500399,Lokosovo,79,RU,1593362221,96,61.13,74.82,55.89,4.54
292968,Abu Dhabi,53,AE,1593362138,39,24.47,54.37,96.8,11.41
2112444,Kamaishi,9,JP,1593361724,89,39.27,141.88,61.84,5.3
2012530,Zhigansk,0,RU,1593361732,57,66.77,123.37,65.37,12.08
3617154,Puerto Cabezas,75,NI,1593362222,84,14.04,-83.39,86.0,11.41
2456917,Goundam,13,ML,1593362222,13,16.41,-3.67,108.34,3.49
1494091,Promyshlennaya,100,RU,1593362222,58,54.92,85.64,57.2,4.47
3581194,San Ignacio,75,BZ,1593362222,79,17.16,-89.07,86.0,9.17
2027044,Batagay,53,RU,1593362223,70,67.63,134.63,63.25,4.25
3024035,Concarneau,75,FR,1593362223,68,47.88,-3.92,66.2,11.41
3883457,Lebu,93,CL,1593362302,91,-37.62,-73.65,53.91,12.84
3388847,São Félix do Xingu,0,BR,1593362223,36,-6.64,-51.99,92.07,5.95
1490256,Talnakh,43,RU,1593362302,56,69.49,88.4,71.6,13.42
699706,Novooleksiyivka,0,UA,1593362223,47,46.23,34.64,78.21,6.69
2071860,Esperance,75,AU,1593362221,93,-33.87,121.9,57.2,11.41
2184707,Wanaka,100,NZ,1593362223,88,-44.7,169.15,39.0,3.0
5856195,Honolulu,40,US,1593362152,78,21.31,-157.86,78.8,4.7
2381334,Atar,0,MR,1593362303,6,20.52,-13.05,111.63,20.11
653272,Kemijärvi,86,FI,1593362224,38,66.71,27.43,64.2,3.98
4231997,Avera,1,US,1593361735,55,33.19,-82.53,89.6,10.29
1140025,Herat Province,0,AF,1593362180,13,34.5,62.0,78.8,3.36
5859699,College,75,US,1593362224,58,64.86,-147.8,61.0,3.83
5563839,Fortuna,90,US,1593361736,82,40.6,-124.16,57.99,12.75
2176639,Batemans Bay,42,AU,1593362014,100,-35.72,150.18,39.0,4.79
